,Unnamed: 0,year,state,quarter,name,type,count,amount
63,12,2018,Andhra-pradesh,q1,krishna district,TOTAL,863935,1284255180
64,0,2018,Andhra-pradesh,q2,east godavari district,TOTAL,1221677,2168914928
65,1,2018,Andhra-pradesh,q2,srikakulam district,TOTAL,559868,929392017
66,2,2018,Andhra-pradesh,q2,spsr nellore district,TOTAL,780454,1542057934
67,3,2018,Andhra-pradesh,q2,vizianagaram district,TOTAL,529588,811711368
68,4,2018,Andhra-pradesh,q2,visakhapatnam district,TOTAL,1641192,2987853607
69,5,2018,Andhra-pradesh,q2,prakasam district,TOTAL,739991,1571167562
70,6,2018,Andhra-pradesh,q2,anantapur district,TOTAL,937023,1690366079
71,7,2018,Andhra-pradesh,q2,ysr district,TOTAL,690842,1415500368
72,8,2018,Andhra-pradesh,q2,west godavari district,TOTAL,786033,1688025212
73,9,2018,Andhra-pradesh,q2,kurnool district,TOTAL,968439,1531888666
74,10,2018,Andhra-pradesh,q2,chittoor district,TOTAL,1185723,1990419126
75,11,2018,Andhra-pradesh,q2,guntur district,TOTAL,1088101,2108475812
76,12,2018,Andhra-pradesh,q2,krishna district,TOTAL,1224987,2448141593
77,0,2018,Andhra-pradesh,q3,east godavari district,TOTAL,3226907,3551247095
78,1,2018,Andhra-pradesh,q3,srikakulam district,TOTAL,1073883,1318322237
79,2,2018,Andhra-pradesh,q3,spsr nellore district,TOTAL,1308890,2215938596
80,3,2018,Andhra-pradesh,q3,vizianagaram district,TOTAL,970132,1163546007
81,4,2018,Andhra-pradesh,q3,visakhapatnam district,TOTAL,3394576,4821892253
82,5,2018,Andhra-pradesh,q3,prakasam district,TOTAL,1319651,2346453445
83,6,2018,Andhra-pradesh,q3,anantapur district,TOTAL,1815215,2681787750
84,7,2018,Andhra-pradesh,q3,ysr district,TOTAL,1557444,2235904512
85,8,2018,Andhra-pradesh,q3,west godavari district,TOTAL,1431282,2309078493
86,9,2018,Andhra-pradesh,q3,kurnool district,TOTAL,2921189,2908389262
87,10,2018,Andhra-pradesh,q3,chittoor district,TOTAL,2297429,3283517631
88,11,2018,Andhra-pradesh,q3,guntur district,TOTAL,1912529,3127764663
89,12,2018,Andhra-pradesh,q3,krishna district,TOTAL,2396934,3754202654
90,0,2018,Andhra-pradesh,q4,east godavari district,TOTAL,3052762,4652624623
91,1,2018,Andhra-pradesh,q4,srikakulam district,TOTAL,1252807,1870278610
92,2,2018,Andhra-pradesh,q4,spsr nellore district,TOTAL,1814997,3293448557
93,3,2018,Andhra-pradesh,q4,vizianagaram district,TOTAL,1386787,1817673253
94,4,2018,Andhra-pradesh,q4,visakhapatnam district,TOTAL,4791421,7366635865
95,5,2018,Andhra-pradesh,q4,prakasam district,TOTAL,1692862,3255254226
96,6,2018,Andhra-pradesh,q4,anantapur district,TOTAL,2286391,3975878156
97,7,2018,Andhra-pradesh,q4,ysr district,TOTAL,1732527,3252340063
98,8,2018,Andhra-pradesh,q4,west godavari district,TOTAL,1688482,3237504255
99,9,2018,Andhra-pradesh,q4,kurnool district,TOTAL,2508530,3626544852
100,10,2018,Andhra-pradesh,q4,chittoor district,TOTAL,3166201,4979093890
101,11,2018,Andhra-pradesh,q4,guntur district,TOTAL,2546620,4730251218
102,12,2018,Andhra-pradesh,q4,krishna district,TOTAL,2839161,5416251838
103,0,2019,Andhra-pradesh,q1,east godavari district,TOTAL,5440146,7382264725
104,1,2019,Andhra-pradesh,q1,srikakulam district,TOTAL,2526855,3407912878
105,2,2019,Andhra-pradesh,q1,spsr nellore district,TOTAL,3333584,5161932216
106,3,2019,Andhra-pradesh,q1,vizianagaram district,TOTAL,2798241,3364576948
107,4,2019,Andhra-pradesh,q1,visakhapatnam district,TOTAL,9690866,13459857441
108,5,2019,Andhra-pradesh,q1,prakasam district,TOTAL,2931081,4807527779
109,6,2019,Andhra-pradesh,q1,anantapur district,TOTAL,3891336,6044730653
110,7,2019,Andhra-pradesh,q1,ysr district,TOTAL,2852197,4915811594
111,8,2019,Andhra-pradesh,q1,west godavari district,TOTAL,2829437,4623764455
112,9,2019,Andhra-pradesh,q1,kurnool district,TOTAL,4193432,5541564893
113,10,2019,Andhra-pradesh,q1,chittoor district,TOTAL,6486813,8223371732
114,11,2019,Andhra-pradesh,q1,guntur district,TOTAL,4846553,7765934169
115,12,2019,Andhra-pradesh,q1,krishna district,TOTAL,5443981,9061346433
116,0,2019,Andhra-pradesh,q2,east godavari district,TOTAL,4699261,9116404622
117,1,2019,Andhra-pradesh,q2,srikakulam district,TOTAL,2019203,4066576540
118,2,2019,Andhra-pradesh,q2,spsr nellore district,TOTAL,3141891,6880873007
119,3,2019,Andhra-pradesh,q2,vizianagaram district,TOTAL,2272320,4443041665
120,4,2019,Andhra-pradesh,q2,visakhapatnam district,TOTAL,11705738,20797479804
121,5,2019,Andhra-pradesh,q2,prakasam district,TOTAL,2670529,6262396448
122,6,2019,Andhra-pradesh,q2,anantapur district,TOTAL,3578836,7830782361
123,7,2019,Andhra-pradesh,q2,ysr district,TOTAL,2606284,6376856828
124,8,2019,Andhra-pradesh,q2,west godavari district,TOTAL,2402074,5676818259
125,9,2019,Andhra-pradesh,q2,kurnool district,TOTAL,3895824,7358285187
126,10,2019,Andhra-pradesh,q2,chittoor district,TOTAL,5983308,10982727976
127,11,2019,Andhra-pradesh,q2,guntur district,TOTAL,5005275,10405246943
128,12,2019,Andhra-pradesh,q2,krishna district,TOTAL,6428472,13437029116
129,0,2019,Andhra-pradesh,q3,east godavari district,TOTAL,6537303,11387726471
130,1,2019,Andhra-pradesh,q3,srikakulam district,TOTAL,2556296,4610131290
131,2,2019,Andhra-pradesh,q3,spsr nellore district,TOTAL,4150195,8256600119
132,3,2019,Andhra-pradesh,q3,vizianagaram district,TOTAL,2861581,4922069039
133,4,2019,Andhra-pradesh,q3,visakhapatnam district,TOTAL,16694947,26944837120
134,5,2019,Andhra-pradesh,q3,prakasam district,TOTAL,3430750,7354502261
135,6,2019,Andhra-pradesh,q3,anantapur district,TOTAL,4889720,9554081289
136,7,2019,Andhra-pradesh,q3,ysr district,TOTAL,3296586,7447544274
137,8,2019,Andhra-pradesh,q3,west godavari district,TOTAL,3179541,6627629029
138,9,2019,Andhra-pradesh,q3,kurnool district,TOTAL,5139134,9025632779
139,10,2019,Andhra-pradesh,q3,chittoor district,TOTAL,8201783,13837455759
140,11,2019,Andhra-pradesh,q3,guntur district,TOTAL,6942304,13075661264
141,12,2019,Andhra-pradesh,q3,krishna district,TOTAL,8408474,16404073561
142,0,2019,Andhra-pradesh,q4,east godavari district,TOTAL,9285739,16816774065
143,1,2019,Andhra-pradesh,q4,srikakulam district,TOTAL,3712555,6832369302
144,2,2019,Andhra-pradesh,q4,spsr nellore district,TOTAL,5877804,11786014089
145,3,2019,Andhra-pradesh,q4,vizianagaram district,TOTAL,3998234,7175851807
146,4,2019,Andhra-pradesh,q4,visakhapatnam district,TOTAL,23594874,39133296330
147,5,2019,Andhra-pradesh,q4,prakasam district,TOTAL,4865473,10604077825
148,6,2019,Andhra-pradesh,q4,anantapur district,TOTAL,6764112,13887248889
149,7,2019,Andhra-pradesh,q4,ysr district,TOTAL,4793157,10865073856
150,8,2019,Andhra-pradesh,q4,west godavari district,TOTAL,4596479,9710614747
151,9,2019,Andhra-pradesh,q4,kurnool district,TOTAL,7001958,13233105729
152,10,2019,Andhra-pradesh,q4,chittoor district,TOTAL,11246986,19298476028
153,11,2019,Andhra-pradesh,q4,guntur district,TOTAL,9761330,18565626418
154,12,2019,Andhra-pradesh,q4,krishna district,TOTAL,11719402,23039786404
155,0,2020,Andhra-pradesh,q1,east godavari district,TOTAL,11346242,21854701379
156,1,2020,Andhra-pradesh,q1,srikakulam district,TOTAL,4835092,9777575594
157,2,2020,Andhra-pradesh,q1,spsr nellore district,TOTAL,7430247,15387829694
158,3,2020,Andhra-pradesh,q1,vizianagaram district,TOTAL,5042066,9879174241
159,4,2020,Andhra-pradesh,q1,visakhapatnam district,TOTAL,27115031,48809747615
160,5,2020,Andhra-pradesh,q1,prakasam district,TOTAL,6318396,14169104765
161,6,2020,Andhra-pradesh,q1,anantapur district,TOTAL,8466129,17864325753
162,7,2020,Andhra-pradesh,q1,ysr district,TOTAL,6031255,14059924637
163,8,2020,Andhra-pradesh,q1,west godavari district,TOTAL,5919670,12995834341
164,9,2020,Andhra-pradesh,q1,kurnool district,TOTAL,8246869,17022710312
165,10,2020,Andhra-pradesh,q1,chittoor district,TOTAL,13257740,23441848567
166,11,2020,Andhra-pradesh,q1,guntur district,TOTAL,11493331,22992734621
167,12,2020,Andhra-pradesh,q1,krishna district,TOTAL,12175289,24481702771
168,0,2020,Andhra-pradesh,q2,east godavari district,TOTAL,13130334,26319906327
169,1,2020,Andhra-pradesh,q2,srikakulam district,TOTAL,6425515,12153650077
170,2,2020,Andhra-pradesh,q2,spsr nellore district,TOTAL,9454274,20665376461
171,3,2020,Andhra-pradesh,q2,vizianagaram district,TOTAL,6690313,12819344390
172,4,2020,Andhra-pradesh,q2,visakhapatnam district,TOTAL,25300401,48293889917
173,5,2020,Andhra-pradesh,q2,prakasam district,TOTAL,8844580,19846026727
174,6,2020,Andhra-pradesh,q2,anantapur district,TOTAL,10473739,22094006659
175,7,2020,Andhra-pradesh,q2,ysr district,TOTAL,8033609,19597207268
176,8,2020,Andhra-pradesh,q2,west godavari district,TOTAL,7273096,16585866855
177,9,2020,Andhra-pradesh,q2,kurnool district,TOTAL,9821381,22419372062
178,10,2020,Andhra-pradesh,q2,chittoor district,TOTAL,14848197,27361300300
179,11,2020,Andhra-pradesh,q2,guntur district,TOTAL,12308707,27463593608
180,12,2020,Andhra-pradesh,q2,krishna district,TOTAL,12313709,26964149095
181,0,2020,Andhra-pradesh,q3,east godavari district,TOTAL,17972431,39300043805
182,1,2020,Andhra-pradesh,q3,srikakulam district,TOTAL,8286289,18029574581
183,2,2020,Andhra-pradesh,q3,spsr nellore district,TOTAL,16468209,39128324534
184,3,2020,Andhra-pradesh,q3,vizianagaram district,TOTAL,8236703,17567816577
185,4,2020,Andhra-pradesh,q3,visakhapatnam district,TOTAL,34421299,67628440368
186,5,2020,Andhra-pradesh,q3,prakasam district,TOTAL,12266310,31221704852
187,6,2020,Andhra-pradesh,q3,anantapur district,TOTAL,14447683,34102037973
188,7,2020,Andhra-pradesh,q3,ysr district,TOTAL,11934653,32037007334
189,8,2020,Andhra-pradesh,q3,west godavari district,TOTAL,10412351,25408608726
190,9,2020,Andhra-pradesh,q3,kurnool district,TOTAL,13243292,32529351107
191,10,2020,Andhra-pradesh,q3,chittoor district,TOTAL,20501863,42811566246
192,11,2020,Andhra-pradesh,q3,guntur district,TOTAL,17601395,42531195810
193,12,2020,Andhra-pradesh,q3,krishna district,TOTAL,19110457,44788458672
194,0,2020,Andhra-pradesh,q4,east godavari district,TOTAL,25989490,58732615663
195,1,2020,Andhra-pradesh,q4,srikakulam district,TOTAL,11092184,25222520275
196,2,2020,Andhra-pradesh,q4,spsr nellore district,TOTAL,20934374,49115443663
197,3,2020,Andhra-pradesh,q4,vizianagaram district,TOTAL,10580824,24094847668
198,4,2020,Andhra-pradesh,q4,visakhapatnam district,TOTAL,46551467,91879823025
199,5,2020,Andhra-pradesh,q4,prakasam district,TOTAL,16176867,41852443494
200,6,2020,Andhra-pradesh,q4,anantapur district,TOTAL,20996384,49732610814
201,7,2020,Andhra-pradesh,q4,ysr district,TOTAL,15676878,42572974713
202,8,2020,Andhra-pradesh,q4,west godavari district,TOTAL,15674762,40310975763
203,9,2020,Andhra-pradesh,q4,kurnool district,TOTAL,18737323,44718203115
204,10,2020,Andhra-pradesh,q4,chittoor district,TOTAL,29590411,61505711150
205,11,2020,Andhra-pradesh,q4,guntur district,TOTAL,26136538,60641872021
206,12,2020,Andhra-pradesh,q4,krishna district,TOTAL,27981050,64461504668
207,0,2021,Andhra-pradesh,q1,east godavari district,TOTAL,26190701,60027984988
208,1,2021,Andhra-pradesh,q1,srikakulam district,TOTAL,11160473,26486623313
209,2,2021,Andhra-pradesh,q1,spsr nellore district,TOTAL,22541428,52210333202
210,3,2021,Andhra-pradesh,q1,vizianagaram district,TOTAL,10514582,24153782497
211,4,2021,Andhra-pradesh,q1,visakhapatnam district,TOTAL,48248923,95308386038
212,5,2021,Andhra-pradesh,q1,prakasam district,TOTAL,15175395,41396223622
213,6,2021,Andhra-pradesh,q1,anantapur district,TOTAL,20102957,48353870395
214,7,2021,Andhra-pradesh,q1,ysr district,TOTAL,15374473,42570919449
215,8,2021,Andhra-pradesh,q1,west godavari district,TOTAL,16015685,42124030669
216,9,2021,Andhra-pradesh,q1,kurnool district,TOTAL,17918524,44941629660
217,10,2021,Andhra-pradesh,q1,chittoor district,TOTAL,29342609,60947491847
218,11,2021,Andhra-pradesh,q1,guntur district,TOTAL,27445045,64207987853
219,12,2021,Andhra-pradesh,q1,krishna district,TOTAL,29717175,69715406645
220,0,2021,Andhra-pradesh,q2,east godavari district,TOTAL,31717908,74604325864
221,1,2021,Andhra-pradesh,q2,srikakulam district,TOTAL,13546232,32298129545
222,2,2021,Andhra-pradesh,q2,spsr nellore district,TOTAL,30290406,72283071757
223,3,2021,Andhra-pradesh,q2,vizianagaram district,TOTAL,12689494,29140685237
224,4,2021,Andhra-pradesh,q2,visakhapatnam district,TOTAL,54390299,114439012713
225,5,2021,Andhra-pradesh,q2,prakasam district,TOTAL,19944047,54535328043
226,6,2021,Andhra-pradesh,q2,anantapur district,TOTAL,25123346,60987487571
227,7,2021,Andhra-pradesh,q2,ysr district,TOTAL,18457361,52523527031
228,8,2021,Andhra-pradesh,q2,west godavari district,TOTAL,20950964,57233116236
229,9,2021,Andhra-pradesh,q2,kurnool district,TOTAL,21972396,56659287475
230,10,2021,Andhra-pradesh,q2,chittoor district,TOTAL,34344902,73654690122
231,11,2021,Andhra-pradesh,q2,guntur district,TOTAL,32968819,82356914464
232,12,2021,Andhra-pradesh,q2,krishna district,TOTAL,36370960,90021923050
233,0,2021,Andhra-pradesh,q3,east godavari district,TOTAL,39572714,89380370073
234,1,2021,Andhra-pradesh,q3,srikakulam district,TOTAL,15639768,34836400770
235,2,2021,Andhra-pradesh,q3,spsr nellore district,TOTAL,34411958,77839676988
236,3,2021,Andhra-pradesh,q3,vizianagaram district,TOTAL,14510005,31383541628
237,4,2021,Andhra-pradesh,q3,visakhapatnam district,TOTAL,69220981,136945652159
238,5,2021,Andhra-pradesh,q3,prakasam district,TOTAL,24116580,63367713447
239,6,2021,Andhra-pradesh,q3,anantapur district,TOTAL,30366444,70291248156
240,7,2021,Andhra-pradesh,q3,ysr district,TOTAL,22439316,60683557725
241,8,2021,Andhra-pradesh,q3,west godavari district,TOTAL,26245039,66647238455
242,9,2021,Andhra-pradesh,q3,kurnool district,TOTAL,26377809,62527453762
243,10,2021,Andhra-pradesh,q3,chittoor district,TOTAL,42628568,89371931753
244,11,2021,Andhra-pradesh,q3,guntur district,TOTAL,41675093,96525353090
245,12,2021,Andhra-pradesh,q3,krishna district,TOTAL,44828275,104417897559
246,0,2021,Andhra-pradesh,q4,east godavari district,TOTAL,48992531,106725597026
247,1,2021,Andhra-pradesh,q4,srikakulam district,TOTAL,18501857,39713657870
248,2,2021,Andhra-pradesh,q4,spsr nellore district,TOTAL,41921081,92256405076
249,3,2021,Andhra-pradesh,q4,vizianagaram district,TOTAL,17253059,36577529465
250,4,2021,Andhra-pradesh,q4,visakhapatnam district,TOTAL,82711538,159530099773
251,5,2021,Andhra-pradesh,q4,prakasam district,TOTAL,27858275,71323060008
252,6,2021,Andhra-pradesh,q4,anantapur district,TOTAL,36129136,81239787007
253,7,2021,Andhra-pradesh,q4,ysr district,TOTAL,26340348,69081850069
254,8,2021,Andhra-pradesh,q4,west godavari district,TOTAL,33235175,81292461575
255,9,2021,Andhra-pradesh,q4,kurnool district,TOTAL,31782248,73968947670
256,10,2021,Andhra-pradesh,q4,chittoor district,TOTAL,51119640,103985734664
257,11,2021,Andhra-pradesh,q4,guntur district,TOTAL,50919286,115553993673
258,12,2021,Andhra-pradesh,q4,krishna district,TOTAL,55489829,125015323208
259,0,2022,Andhra-pradesh,q1,east godavari district,TOTAL,54738830,121067103713
260,1,2022,Andhra-pradesh,q1,srikakulam district,TOTAL,20990782,46898912116
261,2,2022,Andhra-pradesh,q1,spsr nellore district,TOTAL,47645702,104895571602
262,3,2022,Andhra-pradesh,q1,vizianagaram district,TOTAL,19278262,41994853362
263,4,2022,Andhra-pradesh,q1,visakhapatnam district,TOTAL,88233362,170120350591
264,5,2022,Andhra-pradesh,q1,prakasam district,TOTAL,31340975,79494373255
265,6,2022,Andhra-pradesh,q1,anantapur district,TOTAL,40613148,90197023268
266,7,2022,Andhra-pradesh,q1,ysr district,TOTAL,29783739,78421693519
267,8,2022,Andhra-pradesh,q1,west godavari district,TOTAL,37271259,92397939904
268,9,2022,Andhra-pradesh,q1,kurnool district,TOTAL,35093633,81568420501
269,10,2022,Andhra-pradesh,q1,chittoor district,TOTAL,58561024,117900595509
270,11,2022,Andhra-pradesh,q1,guntur district,TOTAL,57226996,129673727687
271,12,2022,Andhra-pradesh,q1,krishna district,TOTAL,61826199,139690081529
272,0,2018,Arunachal-pradesh,q1,lower dibang valley district,TOTAL,1356,1076237
273,1,2018,Arunachal-pradesh,q1,lower subansiri district,TOTAL,1477,3650728
274,2,2018,Arunachal-pradesh,q1,longding district,TOTAL,2321,4361532
275,3,2018,Arunachal-pradesh,q1,west siang district,TOTAL,1887,4796676
276,4,2018,Arunachal-pradesh,q1,kamle district,TOTAL,14,7971
277,5,2018,Arunachal-pradesh,q1,upper siang district,TOTAL,126,186611
